Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
Èt;19.03.2026;18:30;PL;ELH;394;"HC ŠKODA PLZEÒ ";"HC Sparta Praha ";2:0
Pá;20.03.2026;18:00;LB;ELH;395;"Bílí Tygøi Liberec ";"HC Energie Karlovy Vary ";2:3
Pá;20.03.2026;18:30;HK;ELH;396;"Mountfield HK, a.s. ";"HC Oceláøi Tøinec ";2:4
So;21.03.2026;18:00;LB;ELH;397;"Bílí Tygøi Liberec ";"HC Energie Karlovy Vary ";1:3
So;21.03.2026;18:00;HK;ELH;398;"Mountfield HK, a.s. ";"HC Oceláøi Tøinec ";2:3p
Ne;22.03.2026;17:00;R;ELH;399;"HC KOMETA BRNO ";"HC DYNAMO PARDUBICE ";2:4
Ne;22.03.2026;18:00;S;ELH;400;"HC Sparta Praha ";"HC ŠKODA PLZEÒ ";3:4sn
Po;23.03.2026;17:00;R;ELH;401;"HC KOMETA BRNO ";"HC DYNAMO PARDUBICE ";0:1
Po;23.03.2026;18:30;S;ELH;402;"HC Sparta Praha ";"HC ŠKODA PLZEÒ ";1:2
Út;24.03.2026;18:00;KV;ELH;403;"HC Energie Karlovy Vary ";"Bílí Tygøi Liberec ";0:3
Út;24.03.2026;18:00;TW;ELH;404;"HC Oceláøi Tøinec ";"Mountfield HK, a.s. ";2:3
St;25.03.2026;17:00;TW;ELH;406;"HC Oceláøi Tøinec ";"Mountfield HK, a.s. ";4:2
St;25.03.2026;18:30;KV;ELH;405;"HC Energie Karlovy Vary ";"Bílí Tygøi Liberec ";1:4
Èt;26.03.2026;17:30;PL;ELH;408;"HC ŠKODA PLZEÒ ";"HC Sparta Praha ";1:4
Èt;26.03.2026;18:00;PA;ELH;407;"HC DYNAMO PARDUBICE ";"HC KOMETA BRNO ";"Zápas zrušen"
Pá;27.03.2026;18:00;LB;ELH;409;"Bílí Tygøi Liberec ";"HC Energie Karlovy Vary ";3:1
Pá;27.03.2026;18:00;HK;ELH;410;"Mountfield HK, a.s. ";"HC Oceláøi Tøinec ";2:3p
So;28.03.2026;16:00;S;ELH;412;"HC Sparta Praha ";"HC ŠKODA PLZEÒ ";4:2
So;28.03.2026;17:00;R;ELH;411;"HC KOMETA BRNO ";"HC DYNAMO PARDUBICE ";"Zápas zrušen"
Ne;29.03.2026;15:00;TW;ELH;414;"HC Oceláøi Tøinec ";"Mountfield HK, a.s. ";"Zápas zrušen"
Ne;29.03.2026;16:00;KV;ELH;413;"HC Energie Karlovy Vary ";"Bílí Tygøi Liberec ";4:0
Po;30.03.2026;17:30;PL;ELH;416;"HC ŠKODA PLZEÒ ";"HC Sparta Praha ";0:1
Po;30.03.2026;18:00;PA;ELH;415;"HC DYNAMO PARDUBICE ";"HC KOMETA BRNO ";"Zápas zrušen"
Út;31.03.2026;18:00;LB;ELH;417;"Bílí Tygøi Liberec ";"HC Energie Karlovy Vary ";0:1p
Út;31.03.2026;18:00;HK;ELH;418;"Mountfield HK, a.s. ";"HC Oceláøi Tøinec ";"Zápas zrušen"
Pá;03.04.2026;17:00;PA;ELH;421;"HC DYNAMO PARDUBICE ";"HC Sparta Praha ";6:2
Pá;03.04.2026;18:00;TW;ELH;422;"HC Oceláøi Tøinec ";"HC Energie Karlovy Vary ";3:1
So;04.04.2026;17:00;PA;ELH;423;"HC DYNAMO PARDUBICE ";"HC Sparta Praha ";1:2
So;04.04.2026;18:00;TW;ELH;424;"HC Oceláøi Tøinec ";"HC Energie Karlovy Vary ";5:4
Út;07.04.2026;18:00;KV;ELH;426;"HC Energie Karlovy Vary ";"HC Oceláøi Tøinec ";2:3
Út;07.04.2026;19:15;O;ELH;425;"HC Sparta Praha ";"HC DYNAMO PARDUBICE ";1:2sn
St;08.04.2026;17:45;O;ELH;427;"HC Sparta Praha ";"HC DYNAMO PARDUBICE ";4:2
St;08.04.2026;18:30;KV;ELH;428;"HC Energie Karlovy Vary ";"HC Oceláøi Tøinec ";3:0
So;11.04.2026;16:30;TW;ELH;430;"HC Oceláøi Tøinec ";"HC Energie Karlovy Vary ";3:2p
So;11.04.2026;19:00;PA;ELH;429;"HC DYNAMO PARDUBICE ";"HC Sparta Praha ";4:3p
Po;13.04.2026;18:00;KV;ELH;432;"HC Energie Karlovy Vary ";"HC Oceláøi Tøinec ";"Zápas zrušen"
Po;13.04.2026;18:45;O;ELH;431;"HC Sparta Praha ";"HC DYNAMO PARDUBICE ";3:2
St;15.04.2026;17:00;TW;ELH;434;"HC Oceláøi Tøinec ";"HC Energie Karlovy Vary ";"Zápas zrušen"
St;15.04.2026;18:00;PA;ELH;433;"HC DYNAMO PARDUBICE ";"HC Sparta Praha ";1:0
Pá;17.04.2026;19:00;LI;ELH;451;"HC Litvínov ";"HC Dukla Jihlava ";3:2p
So;18.04.2026;17:30;LI;ELH;452;"HC Litvínov ";"HC Dukla Jihlava ";3:1
So;18.04.2026;17:30;PA;ELH;441;"HC DYNAMO PARDUBICE ";"HC Oceláøi Tøinec ";3:2
Ne;19.04.2026;17:00;PA;ELH;442;"HC DYNAMO PARDUBICE ";"HC Oceláøi Tøinec ";4:2
Út;21.04.2026;19:00;JI;ELH;453;"HC Dukla Jihlava ";"HC Litvínov ";1:5
St;22.04.2026;17:30;JI;ELH;454;"HC Dukla Jihlava ";"HC Litvínov ";4:2
St;22.04.2026;18:00;TW;ELH;443;"HC Oceláøi Tøinec ";"HC DYNAMO PARDUBICE ";5:4p
Èt;23.04.2026;17:00;TW;ELH;444;"HC Oceláøi Tøinec ";"HC DYNAMO PARDUBICE ";Pøipraveno
So;25.04.2026;17:30;LI;ELH;455;"HC Litvínov ";"HC Dukla Jihlava ";Pøipraveno
Ne;26.04.2026;17:00;PA;ELH;445;"HC DYNAMO PARDUBICE ";"HC Oceláøi Tøinec ";Pøipraveno
Po;27.04.2026;17:30;JI;ELH;456;"HC Dukla Jihlava ";"HC Litvínov ";Pøipraveno
Út;28.04.2026;17:00;TW;ELH;446;"HC Oceláøi Tøinec ";"HC DYNAMO PARDUBICE ";Pøipraveno
St;29.04.2026;17:30;LI;ELH;457;"HC Litvínov ";"HC Dukla Jihlava ";Pøipraveno
Èt;30.04.2026;18:00;PA;ELH;447;"HC DYNAMO PARDUBICE ";"HC Oceláøi Tøinec ";Pøipraveno
